,CONSTITUENTSYSTEMID,DAYSDIFF,r_percentile,count_gifts,f_percentile,total_giving,m_percentile,RFM,Rank_Pct
13514,D237B3ED-BAC8-4D59-92C6-6198634F65D3,116,0.915155661991105,49,0.8831337666780705,17370.0,0.9246664385904892,2.7229558672596648,95.16967706622879
12163,AE4170AD-9789-49AE-8036-C89CC5F9EA4D,24,0.9854943551146083,57,0.905029079712624,4770.0,0.8322271638727335,2.7227505986999656,95.16283524904215
13066,C9732A64-0DBF-4AD8-97DD-926469C249BA,347,0.8561751625042764,128,0.9721518987341772,10220.0,0.8939445774888812,2.722271638727335,95.1559934318555
13368,00895350-3D8A-4602-B834-6B6E2730D85F,301,0.8658912076633596,81,0.9415668833390353,14250.0,0.9146082791652412,2.722066370167636,95.14915161466885
13307,7389DA44-7A73-4E94-81CD-C300C4D9AD64,92,0.9396510434485118,45,0.8715703044816969,13160.0,0.9105029079712624,2.721724255901471,95.14230979748221
13435,0A475001-20F4-4CEC-A0F0-81FE4E336D26,235,0.877796784125898,67,0.9241190557646254,15605.0,0.9192610331850838,2.721176873075607,95.13546798029556
14071,81D2413E-0F62-42D6-900A-EC57663E3ADC,89,0.9435511460827917,32,0.8147109134450906,45557.76,0.962777967841259,2.721040027369141,95.12862616310892
12680,E1D67B93-CE77-4212-A505-028CE0283EA3,16,0.9910366062264796,42,0.8621963735887787,7045.0,0.867601778994184,2.7208347588094424,95.12178434592228
12366,19ECBA80-3CB1-4BD7-BEE2-D4D05F216019,154,0.89804994868286,141,0.9764625384878549,5496.0,0.8461170030790284,2.720629490249743,95.11494252873564
13469,0D6FBE57-725A-4762-A975-9C82C6DAFA7E,89,0.9435511460827917,40,0.8553540882654806,16275.0,0.9215874101950051,2.7204926445432775,95.108100711549
